Australia	AUS	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.324
Austria	AUT	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.282
Austria	AUT	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.276
Belgium	BEL	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.267
Belgium	BEL	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.262
Canada	CAN	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.316
Denmark	DNK	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.253
Denmark	DNK	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.249
Finland	FIN	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.265
Finland	FIN	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.261
Finland	FIN	Income_inequality_Gini_coefficient,_level,_late_2000s	2013	0-1_scale	0.262
France	FRA	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.309
France	FRA	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.306
Germany	DEU	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.293
Germany	DEU	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.289
Greece	GRC	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.335
Greece	GRC	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.34
Iceland	ISL	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.251
Iceland	ISL	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.252
Ireland	IRL	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.3
Ireland	IRL	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.302
Italy	ITA	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.322
Italy	ITA	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.326
Luxembourg	LUX	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.277
Luxembourg	LUX	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.299
Netherlands	NLD	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.283
Netherlands	NLD	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.278
Netherlands	NLD	Income_inequality_Gini_coefficient,_level,_late_2000s	2013	0-1_scale	0.278
New_Zealand	NZL	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.323
New_Zealand	NZL	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.333
Norway	NOR	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.25
Norway	NOR	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.253
Portugal	PRT	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.341
Portugal	PRT	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.341
Sweden	SWE	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.273
Sweden	SWE	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.274
Switzerland	CHE	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.289
Switzerland	CHE	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.285
United_Kingdom	GBR	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.344
United_Kingdom	GBR	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.351
United_States	USA	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.389
United_States	USA	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.389
United_States	USA	Income_inequality_Gini_coefficient,_level,_late_2000s	2013	0-1_scale	0.401
Israel	ISR	Income_inequality_Gini_coefficient,_level,_late_2000s	2011	0-1_scale	0.377
Israel	ISR	Income_inequality_Gini_coefficient,_level,_late_2000s	2012	0-1_scale	0.371
Israel	ISR	Income_inequality_Gini_coefficient,_level,_late_2000s	2013	0-1_scale	0.36
