County,State,Infant_Mortality,Suicide,Injury,Total_Births,Total_Deaths
Autauga,AL,5.9,16.6,23,3048,1867
Baldwin,AL,7.1,14.3,30.1,5471,4388
Barbour,AL,7.1,10.3,29.6,1835,1538
Bibb,AL,9.8,14.8,30,2801,2012
Blount,AL,9,14.4,24.4,3318,2453
Bullock,AL,13.3,-1111.1,34.2,1604,1381
Butler,AL,5.8,11.9,30.5,2874,2857
Calhoun,AL,9.5,13.6,27.4,4429,3915
Chambers,AL,7.5,12.8,26.8,2271,2424
Cherokee,AL,7.4,17.7,27,2659,2609
Chilton,AL,10.5,13.3,32.8,2671,2065
Choctaw,AL,10.8,9.4,19.1,2152,1742
Clarke,AL,7.1,8.9,22.4,1984,1444
Clay,AL,10.2,11.2,31.9,1748,1706
Cleburne,AL,7,30.1,26.1,1706,1540
Coffee,AL,2.9,13.1,19.2,2762,2210
Colbert,AL,8.2,15.1,27.4,3166,3087
Conecuh,AL,14.4,13.2,29.8,1872,1832
Coosa,AL,13.9,-1111.1,21.7,1273,1174
Covington,AL,6.2,10.7,24.4,2247,2499
Crenshaw,AL,11.4,11.2,28.9,1745,1825
Cullman,AL,6.9,9.1,24.6,4897,4405
Dale,AL,7.9,10.8,24,3789,2259
Dallas,AL,9.6,8.4,28.1,3767,2752
DeKalb,AL,7.7,10.9,26.7,4665,3326
Elmore,AL,7.6,8.5,26.3,4707,2823
Escambia,AL,12.3,11,25.2,2519,2151
Etowah,AL,8.7,15.7,24.6,3810,4020
Fayette,AL,7.3,12,25.7,2145,2224
Franklin,AL,11.5,13.8,30.9,2169,1902
Geneva,AL,7.1,13.3,25.5,3007,3080
Greene,AL,10.2,15,25.9,1568,1193
Hale,AL,13.8,7,24.7,2568,1960
Henry,AL,7.6,8.9,15.8,2070,1898
Houston,AL,8,7.6,19.1,6497,4329
Jackson,AL,6.4,12.5,27.6,3279,2871
Jefferson,AL,11.3,11.3,28.8,27118,21937
Lamar,AL,15.6,13.7,29.8,1870,1985
Lauderdale,AL,5.4,12.6,22.2,4995,4541
Lawrence,AL,5.3,10.9,27,2080,1740
Lee,AL,8.3,9.9,17.8,7131,3852
Limestone,AL,7.3,13.4,20.4,4244,2826
Lowndes,AL,12.6,8.2,25.6,2108,1364
Macon,AL,13,11.7,31.6,3113,2801
Madison,AL,9.1,10.6,20.4,10693,6626
Marengo,AL,12.2,4.8,32.1,3318,2600
Marion,AL,8.8,13.4,40.5,1825,1887
Marshall,AL,7.9,15.7,26.8,6319,4669
Mobile,AL,10,10.9,26.9,17569,11805
