Australia	AUS	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	8.5
Austria	AUT	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	7.1
Austria	AUT	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	7
Belgium	BEL	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	6.1
Belgium	BEL	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	5.7
Canada	CAN	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	8.5
Denmark	DNK	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	5.3
Denmark	DNK	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	5.2
Finland	FIN	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	5.6
Finland	FIN	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	5.5
Finland	FIN	Income_inequality_Gini_coefficient,_rank,_late_2000s	2013	0-1_scale	5.5
France	FRA	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	7.4
France	FRA	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	7.4
Germany	DEU	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	6.9
Germany	DEU	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	6.6
Greece	GRC	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	12.6
Greece	GRC	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	12.5
Iceland	ISL	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	5.6
Iceland	ISL	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	5.5
Ireland	IRL	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	7.5
Ireland	IRL	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	7.3
Italy	ITA	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	10.2
Italy	ITA	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	11.3
Luxembourg	LUX	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	5.9
Luxembourg	LUX	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	7
Netherlands	NLD	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	6.7
Netherlands	NLD	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	6.6
Netherlands	NLD	Income_inequality_Gini_coefficient,_rank,_late_2000s	2013	0-1_scale	6.6
New_Zealand	NZL	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	8
New_Zealand	NZL	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	8.2
Norway	NOR	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	6.1
Norway	NOR	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	6.2
Portugal	PRT	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	9.8
Portugal	PRT	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	10.6
Sweden	SWE	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	6.3
Sweden	SWE	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	6.3
Switzerland	CHE	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	6.9
Switzerland	CHE	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	6.7
United_Kingdom	GBR	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	9.6
United_Kingdom	GBR	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	10.5
United_States	USA	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	16.6
United_States	USA	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	16.5
United_States	USA	Income_inequality_Gini_coefficient,_rank,_late_2000s	2013	0-1_scale	18.8
Israel	ISR	Income_inequality_Gini_coefficient,_rank,_late_2000s	2011	0-1_scale	12.5
Israel	ISR	Income_inequality_Gini_coefficient,_rank,_late_2000s	2012	0-1_scale	13.7
Israel	ISR	Income_inequality_Gini_coefficient,_rank,_late_2000s	2013	0-1_scale	14.9
