Australia	AUS	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	4.4
Austria	AUT	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	3.5
Austria	AUT	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	3.5
Belgium	BEL	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	3.3
Belgium	BEL	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	3.3
Canada	CAN	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	4.1
Denmark	DNK	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	2.9
Denmark	DNK	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	2.8
Finland	FIN	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	3.2
Finland	FIN	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	3.1
Finland	FIN	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2013	Number	3.2
France	FRA	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	3.6
France	FRA	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	3.6
Germany	DEU	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	3.6
Germany	DEU	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	3.5
Greece	GRC	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	4.8
Greece	GRC	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	4.9
Iceland	ISL	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	2.8
Iceland	ISL	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	2.9
Ireland	IRL	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	3.8
Ireland	IRL	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	3.8
Italy	ITA	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	4.2
Italy	ITA	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	4.3
Luxembourg	LUX	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	3.4
Luxembourg	LUX	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	3.5
Netherlands	NLD	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	3.3
Netherlands	NLD	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	3.3
Netherlands	NLD	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2013	Number	3.3
New_Zealand	NZL	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	4.2
New_Zealand	NZL	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	4.2
Norway	NOR	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	3
Norway	NOR	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	3
Portugal	PRT	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	4.6
Portugal	PRT	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	4.7
Sweden	SWE	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	3.4
Sweden	SWE	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	3.3
Switzerland	CHE	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	3.7
Switzerland	CHE	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	3.5
United_Kingdom	GBR	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	4
United_Kingdom	GBR	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	4.2
United_States	USA	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	6.1
United_States	USA	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	6.2
United_States	USA	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2013	Number	6.2
Israel	ISR	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2011	Number	6.2
Israel	ISR	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2012	Number	6.1
Israel	ISR	Income_inequality_interdecile_ratio_P90_P10,_rank,_late_2000s	2013	Number	5.9
