County,State,Number_Counties,Population_Size,Population_Density,Poverty,White,Black,Native_American,Asian,Hispanic
Autauga,AL,37,48612,82,10.4,80.7,17.3,0.5,0.6,1.7
Baldwin,AL,27,162586,102,10.2,88.4,9.9,0.5,0.4,2.3
Barbour,AL,33,28414,32,22.1,52.2,46.8,0.4,0.3,3.1
Bibb,AL,53,21516,35,16.8,76.8,22.5,0.3,0.1,1.4
Blount,AL,39,55725,86,11.9,97.1,1.5,0.5,0.2,6.3
Bullock,AL,37,11055,18,26.2,27.8,71.4,0.4,0.2,5.9
Butler,AL,38,20766,27,20,57.5,41.9,0.2,0.3,0.9
Calhoun,AL,53,112141,184,16.4,78.3,19.7,0.4,0.8,2
Chambers,AL,27,35460,59,16.2,60.8,38.6,0.1,0.2,1.2
Cherokee,AL,41,24522,44,15.2,93.3,5.5,0.3,0.3,1.1
Chilton,AL,37,41744,60,14.9,88.3,10.5,0.3,0.4,3.7
Choctaw,AL,37,14807,16,18.7,55.7,43.9,0.1,0.1,0.8
Clarke,AL,33,27269,22,19.2,55.8,43.7,0.2,0.2,0.7
Clay,AL,32,13964,23,14,84.2,15,0.3,0.1,2.1
Cleburne,AL,47,14460,26,14,95.3,3.8,0.3,0.2,1.8
Coffee,AL,37,45567,67,13.7,77.9,18.5,0.9,1.2,3.2
Colbert,AL,44,54660,92,14,81.9,16.7,0.4,0.3,1.3
Conecuh,AL,37,13257,16,22,55.3,44.1,0.2,0.1,0.9
Coosa,AL,47,11162,17,13.4,67.6,31.6,0.3,0.1,1.5
Covington,AL,27,37003,36,17.5,86.1,12.6,0.5,0.3,0.9
Crenshaw,AL,33,13727,23,17.6,74.6,24.6,0.4,0.1,0.8
Cullman,AL,44,79886,108,13.3,97.3,1.2,0.4,0.3,3.1
Dale,AL,41,48748,87,15.8,75.5,20.9,0.5,1.3,3.2
Dallas,AL,40,44366,45,25,32.4,66.9,0.1,0.3,0.6
DeKalb,AL,35,67271,86,15.1,96,1.8,0.8,0.3,8.8
Elmore,AL,37,73937,119,12.5,77.3,20.7,0.4,0.5,1.7
Escambia,AL,33,38082,40,18.6,64.3,31.7,2.9,0.3,1
Etowah,AL,53,103189,193,15.7,83.8,14.6,0.3,0.5,2.4
Fayette,AL,32,18228,29,16.1,87.4,11.8,0.2,0.3,0.9
Franklin,AL,35,30737,48,17.4,94.1,4.2,0.4,0.6,10.7
Geneva,AL,41,25735,45,17.6,87.8,10.8,0.7,0.2,2
Greene,AL,37,9661,15,24.9,19.9,79.7,0.1,0.2,0.7
Hale,AL,38,18316,28,20.6,40.3,59.2,0.1,0.2,0.9
Henry,AL,32,16610,30,16.3,67.6,31.7,0.2,0,2.1
Houston,AL,37,94249,162,15.3,72.2,25.9,0.4,0.7,1.6
Jackson,AL,28,53650,50,14.5,92.6,3.8,1.6,0.3,1.6
Jefferson,AL,39,657229,591,14.4,56.8,41.2,0.2,1.1,2.3
Lamar,AL,32,14962,25,16.1,88.1,11.4,0.2,0.1,1.5
Lauderdale,AL,44,87691,131,15.6,88.9,9.7,0.3,0.4,1.2
Lawrence,AL,37,34605,50,14.4,79.5,12.1,5.4,0.1,1.4
Lee,AL,28,123254,202,15.1,74.1,23,0.2,1.8,1.6
Limestone,AL,37,70469,124,11.8,85.1,13.2,0.5,0.5,3.3
Lowndes,AL,37,13076,18,23.3,27.9,71.7,0.1,0.1,0.8
Macon,AL,33,22810,37,25.8,15.7,82.8,0.1,0.9,1
Madison,AL,25,298192,370,10.9,71.7,23.5,0.8,2.1,2.2
Marengo,AL,31,21879,22,20.1,47.1,52.2,0.1,0.3,1.8
Marion,AL,35,30154,41,16.8,95,3.9,0.3,0.2,1.5
Marshall,AL,28,85634,151,15.2,96.6,1.6,0.5,0.4,8.5
Mobile,AL,25,401427,326,18.5,62.2,34.5,0.7,1.6,1.3
Monroe,AL,31,23733,23,17.7,57,41,1,0.3,0.8
Montgomery,AL,33,221619,281,18,45.1,52.5,0.2,1.2,1.4
Morgan,AL,40,113740,195,13.2,85.7,11.8,0.7,0.7,4.6
Perry,AL,37,11371,16,28.6,30,69.6,0.1,0.1,0.9
Pickens,AL,38,20178,23,19.3,57.2,42.4,0.1,0.1,0.8
Pike,AL,27,29639,44,20.3,60.2,36.8,0.6,1,1.6
Randolph,AL,32,22717,39,15.7,76.8,22.1,0.3,0.4,1.3
Russell,AL,54,49326,77,18.6,56.1,42.1,0.3,0.6,2.1
"St. Clair",AL,28,72330,114,13.1,90.3,8.2,0.4,0.3,1.3
Shelby,AL,44,171465,216,6.9,88.2,9.4,0.3,1.4,3.1
Sumter,AL,37,13819,15,26.4,24.9,74.7,0.1,0.1,1.4
Talladega,AL,54,80457,109,16.8,67.5,31.4,0.2,0.4,1.1
Tallapoosa,AL,35,40717,57,16,72.9,26.3,0.2,0.2,0.9
Tuscaloosa,AL,53,168908,128,16.5,67.7,30.1,0.2,1.1,1.6
Walker,AL,35,70117,88,14.8,92.5,6.4,0.3,0.2,1.2
Washington,AL,37,17773,16,16.9,66,26.4,6.7,0.1,0.9
Wilcox,AL,37,12937,15,27.9,27.1,72.6,0.1,0.1,0.8
Winston,AL,47,24498,40,16.9,98.3,0.6,0.4,0.1,1.9
"Aleutians East",AK,41,2713,0,11.7,33.4,1.9,29.6,33.5,14.8
"Aleutians West",AK,43,5382,1,7.3,48.7,3.8,18.7,26.8,12
Anchorage,AK,24,275043,162,8.7,72,6.2,8.5,7.7,6.4
Bethel,AK,38,17127,0,20.9,13.4,0.6,82,1.3,1.1
"Bristol Bay",AK,43,1112,2,8.1,57.6,0.6,41.4,0.3,1
Denali,AK,43,1881,0,6.6,89.6,1.3,4.7,2.3,2.8
Dillingham,AK,29,4926,0,18.1,23.5,0.5,71.3,0.5,2.5
"Fairbanks North Star",AK,32,87560,12,7.8,79.1,5.3,7.8,2.6,5.2
